nm, %T_slow_20171215, %T_fast_20171215, E1_fast_20171215, E1_empty_fast_20171215,result_fast_20171215, E1_slow_20171215, E1_empty_slow_20171215,result_slow_20171215, %T_fast_20171218, %T_slow_20171218, E1_fast_20171218, E1_empty_fast_20171218,result_fast_20171218
676,71.996478,71.059916,5.6209,7.8635,71.48089273,5.6622,7.931,71.39326693,71.515973,71.630598,5.7892,8.0946,71.5192844612
675,71.945072,71.037609,5.6955,7.9652,71.50479586,5.735,8.0408,71.32374888,71.542891,71.534945,5.8598,8.205,71.4174283973
674,71.879348,70.98195,5.7735,8.0746,71.50199391,5.8103,8.1451,71.33491302,71.573868,71.568117,5.9349,8.3148,71.3775436571
673,71.902036,70.954856,5.8468,8.1786,71.4890079,5.8847,8.2497,71.33229087,71.471389,71.590748,6.0121,8.4266,71.3466878694
672,71.912936,71.01799,5.9174,8.2864,71.41098668,5.9592,8.3589,71.29167713,71.51844,71.585317,6.0919,8.5354,71.3721676781
671,71.915922,70.980953,5.994,8.3912,71.43197636,6.0371,8.467,71.30152356,71.522584,71.57015,6.17,8.6371,71.436014403
670,71.89539,70.973223,6.0748,8.4984,71.48169067,6.1127,8.5756,71.28014366,71.402498,71.509627,6.2462,8.7488,71.3949341624
669,71.850181,71.011191,6.1501,8.6039,71.48037518,6.1892,8.6845,71.26720018,71.411296,71.474015,6.3271,8.8635,71.3837648784
668,71.874786,70.963724,6.2247,8.7168,71.41037996,6.2649,8.7939,71.24142872,71.3759,71.476313,6.4046,8.9744,71.3652166162
667,71.851755,71.010055,6.3045,8.8273,71.42047965,6.3467,8.9025,71.29121033,71.362763,71.528501,6.4812,9.0871,71.3230843724
666,71.828455,71.027048,6.3835,8.9433,71.37745575,6.4283,9.0173,71.28852317,71.342401,71.505798,6.5602,9.2024,71.2879248892
665,71.857219,70.995941,6.458,9.0507,71.35359696,6.5054,9.1296,71.25613389,71.35455,71.477084,6.6429,9.3193,71.281104804
664,71.796498,70.88028,6.5383,9.1681,71.3157579,6.5853,9.2412,71.26022594,71.322788,71.531185,6.7293,9.4384,71.2970418715
663,71.810429,70.850788,6.622,9.2873,71.30167002,6.6647,9.358,71.21927762,71.390639,71.42774,6.8115,9.5535,71.298476998
662,71.766876,70.884921,6.7006,9.4005,71.27918728,6.7465,9.4752,71.20166329,71.312101,71.458889,6.8933,9.6739,71.2566803461
